2022-05-24 18:16:03,530 INFO    MainThread:173425 [wandb_setup.py:_flush():76] Loading settings from /lustre/home/acct-aemwx/aemwx-user1/.config/wandb/settings
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_setup.py:_flush():76] Loading settings from /lustre/home/acct-aemwx/aemwx-user1/wangyu/my/nlp-final/notebook/pl/wandb/settings
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:_log_setup():428] Logging user logs to /lustre/home/acct-aemwx/aemwx-user1/wangyu/my/nlp-final/notebook/pl/wandb/run-20220524_181603-3cjgon0v/logs/debug.log
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:_log_setup():429] Logging internal logs to /lustre/home/acct-aemwx/aemwx-user1/wangyu/my/nlp-final/notebook/pl/wandb/run-20220524_181603-3cjgon0v/logs/debug-internal.log
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:init():462] calling init triggers
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:init():515] starting backend
2022-05-24 18:16:03,531 INFO    MainThread:173425 [wandb_init.py:init():519] setting up manager
2022-05-24 18:16:03,533 INFO    MainThread:173425 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-05-24 18:16:03,536 INFO    MainThread:173425 [wandb_init.py:init():525] backend started and connected
2022-05-24 18:16:03,538 INFO    MainThread:173425 [wandb_init.py:init():596] updated telemetry
2022-05-24 18:16:03,561 INFO    MainThread:173425 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-05-24 18:16:05,140 INFO    MainThread:173425 [wandb_run.py:_on_init():1924] communicating current version
2022-05-24 18:16:05,434 INFO    MainThread:173425 [wandb_run.py:_on_init():1928] got version response 
2022-05-24 18:16:05,434 INFO    MainThread:173425 [wandb_init.py:init():662] starting run threads in backend
2022-05-24 18:16:06,984 INFO    MainThread:173425 [wandb_run.py:_console_start():1898] atexit reg
2022-05-24 18:16:06,985 INFO    MainThread:173425 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-05-24 18:16:06,985 INFO    MainThread:173425 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-05-24 18:16:06,986 INFO    MainThread:173425 [wandb_run.py:_redirect():1832] Redirects installed.
2022-05-24 18:16:06,986 INFO    MainThread:173425 [wandb_init.py:init():688] run started, returning control to user process
